운행순번,장양리시내버스공영정류장발,연세대발,구분,비고
1,6:10,7:05,공통,
2,6:40,7:45,공통,
3,7:10,8:15,공통,"연대발)상지대 경유 * 주말, 일ㆍ공휴일, 상지대방학 : 상지대 교내 미경유"
4,7:35,8:55,공통,
5,8:05,9:15,공통,
6,-,9:35,공통,
7,8:40,9:55,공통,
8,9:20,10:25,공통,
9,10:05,11:10,공통,"연대발)상지대 경유 * 주말, 일ㆍ공휴일, 상지대방학 : 상지대 교내 미경유"
10,10:30,11:35,공통,
11,10:50,12:00,공통,
12,11:15,12:25,공통,
13,11:40,12:50,공통,
14,12:10,13:15,공통,"연대발)상지대 경유 * 주말, 일ㆍ공휴일, 상지대방학 : 상지대 교내 미경유"
15,12:50,13:55,공통,
16,13:15,14:20,공통,
17,13:40,14:45,공통,
18,14:05,15:10,공통,
19,14:30,15:35,공통,
20,15:00,16:10,공통,
21,15:35,16:50,공통,
22,16:05,17:20,공통,
23,16:30,17:45,공통,
24,17:00,18:20,공통,
25,17:30,18:55,공통,"장양리발)상지대 경유 * 주말, 일ㆍ공휴일, 상지대방학 : 상지대 교내 미경유"
26,18:00,19:20,공통,
27,18:30,19:40,공통,
28,19:00,20:05,공통,
29,19:25,20:30,공통,
30,20:10,21:15,공통,
31,21:10,22:10,공통,
32,22:00,23:00,공통,연대발)원주역 미경유
33,23:00,-,공통,원주역 미경유
